@relation 'all news tweets'

@attribute Content string
@attribute Time {11/20/2023,11/22/2023,11/19/2023,11/17/2023,11/21/2023,10/29/2023,11/18/2023,11/14/2023,10/12/2023,11/6/2023,11/1/2023,10/10/2023,10/31/2023,10/15/2023,10/16/2023,10/27/2023,10/17/2023,10/30/2023,10/11/2023,11/12/2023,10/14/2023,11/10/2023,11/15/2023,11/3/2023,11/9/2023,11/16/2023,10/13/2023,11/13/2023,10/24/2023,11/5/2023,11/8/2023,11/23/2023,10/19/2023,10/9/2023,10/26/2023,10/18/2023,10/23/2023,11/7/2023,11/4/2023,11/11/2023,10/21/2023,10/28/2023,11/2/2023,10/25/2023,10/22/2023,10/8/2023,10/20/2023}
@attribute Review numeric
@attribute RetweetNumber numeric
@attribute Like_Numbers numeric
@attribute Look_Numbers numeric
@attribute UserName {Palestine,Israel,SkyNews,IDF,BBCWorld,CNN,RT_com,CBNNews,Telegraph,FoxNews,Independent}
@attribute UserName_For_Label {Palestine,Israel}

@data
'Israeli reservist: I chose to fight but don t know if I ll come back alive',11/13/2023,780,120,620,32400,BBCWorld,?
'Israeli Residents Brace for Potential Hezbollah Battle  Evacuate Northern Border Communities',11/6/2023,1,4,8,100,CBNNews,?
'Israeli soldier and militants killed in confrontation on Lebanon frontier',10/10/2023,151,62,297,26300,BBCWorld,?
'Israeli soldiers kidnap a young man and shoot another in the #WestBank village of Arraba.',11/20/2023,53,2200,200,4700,Palestine,Palestine
'Israeli soldiers mass at Lebanon border as tensions in region run highLive updates',10/17/2023,315,111,517,35900,BBCWorld,?
'Israeli Sources Say Hostage Deal Nearer  as Sirens Sound  Fighting Intensifies around Gaza and North',11/21/2023,2,3,4,1400,CBNNews,?
'Israeli startup comes out of stealth to tackle cyber threats in the GenAI wild west https://timesofisrael.com/israeli-startup-comes-out-of-stealth-to-tackle-cyber-threats-in-the-genai-wild-west/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/20/2023,2,4,17,600,Israel,Israel
'Israeli stocks and bonds up  shekel dips after truce deal with Hamas #Israel | #Economy | #Gaza',11/22/2023,4,6,19,4200,Israel,Israel
'Israeli strike kills three journalists near Lebanon border',11/22/2023,43,171,221,2600,Palestine,Palestine
'Israeli strikes kill 22 in Nuseirat camp  with dozens more killed and injured in separate attacks on homes in Jabalia area and its refugee camp  reports Palestinian news agency  Wafa.  LIVE updates: http://aje.io/tib0wt',11/20/2023,27,140,180,3300,Palestine,Palestine
'Israeli strikes kill two journalists in Lebanon - PM',11/21/2023,457,385,811,29700,BBCWorld,?
'Israeli strikes killed Hasan Abu Hamada  the muezzin of Haifa mosque in Jabalia refugee camp in #Gaza  along with worshippers during prayers.',11/20/2023,49,200,2200,8300,Palestine,Palestine
'Israeli tanks are besieging the Indonesian Hospital in northern #Gaza right now  shooting at the hospital and neighboring buildings.',11/20/2023,73,200,1600,9500,Palestine,Palestine
'Israeli tanks are now besieging the Indonesian Hospital in northern Gaza.',11/21/2023,39,731,592,2400,Palestine,Palestine
'Israeli tanks have surrounded the Indonesian Hospital in northern Gaza after artillery fire killed at least 12 Palestinians in the medical complex  according to Gaza s health ministry http://aje.io/1e71wn',11/20/2023,238,2700,300,39200,Palestine,Palestine
'Israeli tanks surround the Indonesian Hospital in Gaza where at least 12 Palestinians have been killed following direct Israeli strikes since the morning. LIVE updates',11/20/2023,39,217,253,4300,Palestine,Palestine
'Israeli troops have blown up the Palestinian Legislative Council HQ in Gaza  posting footage of the demolition online  two days after the IDF seized control of the site.Follow us on Rumble: http://rumble.com/c/RTNews',11/16/2023,30,88,113,1800,RT_com,?
'Israeli twin babies were found alive after Hamas assailants killed their parents.CNN s @andersoncooper speaks to the children s uncle  who survived the attack.',10/14/2023,989,304,832,38500,CNN,?
'Israeli war cabinet to allow the entry of two fuel tankers per day into southern Gaza in response to a US request  according to a report. LIVE updates',11/17/2023,22,79,134,4000,Palestine,Palestine
'Israeli warplanes and artillery bomb several areas in southern Lebanon.',11/21/2023,23,240,315,1700,Palestine,Palestine
'Israeli warplanes bomb and destroy several homes in the vicinity of the Kamal Adwan Hospital in northern #Gaza.',11/22/2023,14,284,269,1000,Palestine,Palestine
'Israeli warplanes destroy a residential building in Nusseirat refugee camp in the central #Gaza Strip.',11/21/2023,26,750,675,4000,Palestine,Palestine
'Israeli warplanes destroy a residential complex in Rafah  south of the Gaza Strip.#GazaGenocide #CeasefireInGazaNOW',11/21/2023,26,539,467,1800,Palestine,Palestine
'Israeli warplanes destroy an entire residential square in Jabalia refugee camp  north of the Gaza Strip.#GazaGenocide',11/19/2023,24,678,610,2800,Palestine,Palestine
'Israeli warplanes destroy the Sheikh el-Eid family home in Rafah  south of the Gaza Strip.',11/19/2023,15,555,542,2300,Palestine,Palestine
'Israeli warplanes launch a fire belt in the vicinity of a UN school housing thousands of displaced people in the town of Beit Lahiya  north of the #Gaza Strip.',11/22/2023,40,1300,100,3800,Palestine,Palestine
'Israeli woman sees sister captured by Hamas in social media video',10/17/2023,350,37,176,20900,BBCWorld,?
'Israeli-Gaza conflict: Escalation deepens humanitarian crisis',10/8/2023,154,127,347,30200,BBCWorld,?
'Israelis and Palestinians fear worst to come after Gaza violence',10/25/2023,318,51,233,21100,BBCWorld,?
'Israelis are arming up in the aftermath of Hamas  attack. Some are worried it is playing into the far right s vision for the country.https://cnn.com/2023/11/14/middleeast/israel-guns-hamas-far-right/index.html?Date=20231114&Profile=CNN&utm_content=1699962131&utm_medium=social&utm_source=twitter?',11/14/2023,493,75,199,32500,CNN,?
'Israelis mothers would do anything to have a normal Sunday with their children. More than 30 children and babies are currently being held hostage in Gaza by Hamas terrorists.For Israeli mothers  normal no longer exists.Share. #BringThemHome',10/29/2023,3300,2800,6600,39200,IDF,?
'Israelis Spring into Action to Help Fellow Citizens Evacuated after Hamas Massacre',11/13/2023,?,3,6,925,CBNNews,?
'Israelis  united in shock  rally behind war to punish Hamas',10/9/2023,175,57,404,26900,BBCWorld,?
'Israel s capital punishment bill is being advanced by far-right National Security Minister Itamar Ben-Gvir http://aje.io/94mqjn',11/21/2023,38,226,327,5900,Palestine,Palestine
'Israel s expected approval of a ceasefire-for-hostages deal  despite the considerable risks  is a big part of what makes Israel  Israel  writes @HerbKeinon.#hostages | #GazaWar | #Israel',11/22/2023,17,22,80,1900,Israel,Israel
'Israel s ground operations will expand to other areas of the besieged Gaza Strip  says senior Israeli army official. LIVE updates: http://aje.io/g3dt',11/17/2023,20,119,121,4600,Palestine,Palestine
'Israel s hostage deal with Hamas includes the release of at least 50 captives in Gaza  in exchange for a four-day truce in Israel s military campaign https://cnn.it/3MR0eru',11/22/2023,197,91,191,23500,CNN,?
'Israel s hostage deal with Hamas: What we know so far Read: https://on.rt.com/cliu',11/22/2023,3,11,19,6800,RT_com,?
'Israel s intensified bombardment of Gaza deepens the humanitarian crisis. Follow our LIVE coverage: http://aje.io/r7rawx',11/22/2023,81,348,592,17000,Palestine,Palestine
'Israel s Iron Dome intercepts rockets from Gaza',10/8/2023,93,116,602,34300,BBCWorld,?
'Israel s leading NGO  121  convinced the government to pay workers who are unemployed due to Israel s war in Gaza.by @ZachyHennessey#Israel | #Hamas | #unemployment',11/19/2023,5,2,11,8800,Israel,Israel
'Israel s leading NGO  121  convinces the government to pay workers who are unemployed due to the Israel s war in Gazaby @ZachyHennessey #Israel | #Hamas',11/19/2023,5,4,15,7900,Israel,Israel
'Israel s military brass ought to realize that it has an obligation to free as many hostages as possible as quickly as possible. That?s their moral duty to the hostages in light of the terrible military failure that led to this catastrophe / Amos Harel',11/20/2023,18,29,63,1300,Israel,Israel
'Israel s military has warned more than 1.1 million civilians in northern Gaza to evacuate  southwards.  @bencnn says  it s very difficult to imagine how this could possibly be done. Follow live updates: https://cnn.it/3ZY5A9U',10/13/2023,500,150,365,21500,CNN,?
'Israel s military says it has regained control of communities on Gaza border',10/9/2023,63,102,551,24600,BBCWorld,?
'Israel s military says it is advancing on Gaza City  as US Secretary of State Antony Blinken wraps up a whirlwind Middle East tour with a stop in Turkey. Follow live updates.',11/6/2023,351,308,280,33500,CNN,?
'Israel s military says its forces are inside Gaza after vowing to expand its ground operation following the Hamas attacks. Follow live updates.https://cnn.it/46ZDKMG',10/28/2023,967,159,429,41400,CNN,?
'Israel s military says the  next stages  of war against Hamas are coming  warning of coordinated strikes on Gaza from  air  sea and land.  Follow live updates. https://cnn.it/3ZVVRAM',10/14/2023,1800,383,1300,88500,CNN,?
'Israel s minister of national disgrace  Itamar Ben-Gvir  whipped out a bill to impose the death penalty on terrorists. Up until now  he had been smart enough to keep quiet during these dark days / Yossi Verter',11/20/2023,25,69,135,1900,Israel,Israel
'Israel s PM says nation is preparing for ground invasion of Gaza  but did not provide details of when it will happenFollow latest developments on the BBC News website https://bbc.in/46BepZD',10/25/2023,163,40,121,16000,BBCWorld,?
'Israel s president denies it is striking Gaza s Al-Shifa hospital',11/12/2023,1600,243,638,49500,BBCWorld,?
'Israel s prime minister ignored the warnings given to him by knowledgeable and competent advisors. The result was the tragic and fatal attack perpetrated by Hamas on October 7 | Letter to the Editor',11/22/2023,27,94,169,2300,Israel,Israel
'Israel s relentless bombardment of the Gaza Strip continues to inflict devastating humanitarian consequences in the besieged enclave. Follow our LIVE coverage: http://aje.io/7sqhkm',11/18/2023,227,851,1500,50000,Palestine,Palestine
'Israel s slaughter of Palestinian children must end ? #AJOpinion by Brad Parker.: http://aje.io/fzhd3z',11/19/2023,372,2200,3100,11400,Palestine,Palestine
'Israel s state prosecutor sharply criticized the Israel Police s conduct toward citizens who protested against the government  claiming that the force?s actions amount to harming the rule of law',11/21/2023,9,21,34,9600,Israel,Israel
'It has been dubbed ?The Gaza Metro? - the intricate web of deadly terror tunnels buried deep beneath the Gaza strip runs for hundreds of miles. In the latest phase of the war on Hamas  an elite IDF unit is methodically destroying this underground network piece by piece.?',11/10/2023,7,28,94,6700,CBNNews,?
'It has been more than a month since an Israeli woman in her ninth month of pregnancy was kidnapped by Hamas terrorists and taken to Gaza.It is very likely that she has given birth in captivity. We cannot even imagine what she has gone through. This is a war crime.?',11/14/2023,1800,1200,4100,25200,IDF,?
'It is essential to recognize that Ansar Allah s threat cannot be underestimated. Israel cannot expect the Houthi terrorist organization to cease its attacks without a response. - opinion',11/21/2023,10,16,56,900,Israel,Israel
'It seems fairly clear that the Houthis  seizure of a merchant ship indirectly owned by an Israeli was an Iranian move through its agents  that targeted Israel  and was meant to show that Tehran is providing support for Hamas? war on Israel / Amos Harel',11/20/2023,19,19,31,1000,Israel,Israel
'It took this Palestinian couple 14 years to get pregnant  now their 2-year-old daughter has lost both her legs due to Israeli airstrikes on Gaza.',11/18/2023,53,1600,1700,10000,Palestine,Palestine
'It was never about Israel.The past few weeks have proven that. #AntisemitismKills',11/12/2023,2200,2700,6800,35200,IDF,?
'It s been a month since 1 400 of our family members were slaughtered.It s been a month since 240+ of our loved ones were taken hostage to Gaza. It s been a month of sleepless nights  nightmares filled with dead bodies and the cries of our children.Some of you have a short?',11/6/2023,2600,200,8200,53700,IDF,?
'It s been over a month since our family members were butchered  tortured and kidnapped by Hamas terrorists  but the horrific images are still ingrained in our minds. This is the testimony of Naama G  one of the victim s of the October 7th massacre  read by her Israeli peers.?',11/14/2023,1100,1300,3400,17800,IDF,?
'It s erroneous to accuse Israel of genocide against Palestinians in Gaza  US National Security Council spokesperson John Kirby told reporters in Washington on Monday.',11/21/2023,25,28,145,1000,Israel,Israel
'It s not the safe place for my child and his future. On this episode of Tug of War  we hear from residents inside Gaza trying to survive Israeli bombardment  including a woman 9-months pregnant.',10/20/2023,880,215,284,46700,CNN,?
'It s up to ordinary people to stop it. We did it in the struggle against apartheid in South Africa  and we can do it again.  From Australia to Belgium and Colombia to Spain  workers are refusing to handle or transport Israel s war equipment amid Israeli attacks on Gaza.',11/11/2023,80,4200,7100,33800,Palestine,Palestine
'Izhar  Gila and Daniel Peled: 61  59  28: Family slain together at home https://timesofisrael.com/izhar-gila-and-daniel-peled-61-59-28-family-slain-together-at-home/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/19/2023,10,14,48,700,Israel,Israel
'Jack Lew confirmed as new US Ambassador to Israel',10/31/2023,151,66,235,19600,BBCWorld,?
'Jailed Egyptian aid worker freed by Trump admin defends radical terrorist group:  I don t condemn Hamas ',11/20/2023,227,53,155,8400,FoxNews,?
'Jake Marlowe: British citizen missing in Israel after Hamas attack',10/8/2023,113,71,300,26700,BBCWorld,?
'James Cleverly says UK wants minimal civilian casualties in Israel-Gaza war',10/11/2023,122,23,124,15200,BBCWorld,?
'Jeremy Corbyn and John McDonnell marched with pro-Hamas activist',11/19/2023,?,21,25,1100,Telegraph,?
'Jesus Wins : 20 High School Football Players Baptized by Coach  Then District Fires Him',11/17/2023,1,10,28,1500,CBNNews,?
'Jewish fears as German support for Israel is challenged on streets',11/10/2023,733,180,626,47300,BBCWorld,?
'Jewish man dies after dispute at duelling Israel-Palestinian protests',11/7/2023,100,175,468,36000,BBCWorld,?
'Joe Biden likens Hamas to Putin as he urges Americans to support extra funding for Israel and Ukraine - follow the latest on the BBC website https://bbc.in/3PZU6Ox',10/20/2023,196,81,334,22200,BBCWorld,?
'Joe Biden made a whirlwind visit to Israel - but his search for a solution to the crisis only got harder  says the BBC s Jeremy Bowen',10/18/2023,413,59,317,27000,BBCWorld,?
'Joe Biden said he believed a hostage deal was close to completion as the war cabinet met in Tel Aviv on Monday night with family representatives of the over 239 people held captive by Hamas.',11/20/2023,9,6,18,7900,Israel,Israel
'Joe Biden sends military aid to Israel after Hamas attack',10/8/2023,457,334,1500,67000,BBCWorld,?
'Join in the  International Day of Prayer for the Persecuted  This Sunday',11/3/2023,6,20,41,1900,CBNNews,?
'Join the National Day of Prayer for Israel: Watch LIVE at 1:00 PM https://www2.cbn.com/news/israel/join-national-day-prayer-israel-watch-live-100-pm?',11/6/2023,?,14,18,1100,CBNNews,?
'Jon Lovitz knocks  idiot  John Oliver panicking over US aid to Israel: He s  shocked  America supports an ally',11/20/2023,80,28,177,6800,FoxNews,?
'Jordan King Abdullah says the international community should push for an immediate ceasefire in Gaza to prevent a humanitarian catastrophe caused by Israel s  ugly war against civilians.  LIVE updates: http://aje.io/5b1xgr',11/19/2023,49,156,327,4800,Palestine,Palestine
'Jordan said on Wednesday it hoped the Gaza truce would be a step that would end the war in Gaza and prevent the targeting of Palestinians and their displacement from their land.#Jordan | #Israel | #Hamas',11/22/2023,12,2,14,4100,Israel,Israel
'Jordan says it will not heed Israel s order to evacuate the Jordanian field hospital in Gaza. LIVE updates',11/21/2023,17,126,221,4500,Palestine,Palestine
'Jordanian PM declared the country will use  all the means in its power  to stop Israel from carrying out any transfer policy that would result in the wholesale expulsion of Palestinians from occupied West Bank.  LIVE updates: http://aje.io/pbvd83',11/21/2023,21,142,264,4900,Palestine,Palestine
'Jordan s King Abdullah says his military will help those injured in Gaza',11/6/2023,202,115,477,22000,BBCWorld,?
'Jordan s Queen Rania calls for ceasefire and says being pro-Palestinian does not equal being  antisemitic  or  pro-terrorism.  https://trib.al/J3z75kY',11/6/2023,585,785,1200,36600,CNN,?
'Joshua Loitu Mollel and Clemence Felix Mtenga from #Tanzania were in Israel as a part of an Agricultural Internship Program. They were kidnapped by Hamas terrorists and are being held hostage in Gaza.Please join us in praying for their safe and immediate return.?',10/29/2023,1600,4200,1200,55800,IDF,?
'Journalist Ahmed Al-Barsh  speaking from inside the Indonesian Hospital: The Indonesian Hospital is being targeted by a heavy barrage of gunfire amid a tight siege by Israeli tanks The Israeli occupation forces are isolating the hospital by bulldozing the streets leading?',11/20/2023,43,100,933,5700,Palestine,Palestine
'Journalist Assem Adly Al-Bursh martyred after being shot by #Israel occupation army snipers in the Al-Saftawi area in the northern #Gaza Strip on November 20  2023.',11/21/2023,22,100,100,2800,Palestine,Palestine
'Journalist Ayat Al Khaddour and her entire family were killed today in an Israeli strike on their house in #Gaza.',11/20/2023,138,9600,1100,56600,Palestine,Palestine
'Journalist Ayat Al Khaddour was killed today in an Israeli airstrike that targeted her house in Bet Lahya in #Gaza. This was the last video she posted.',11/20/2023,240,5900,6700,73100,Palestine,Palestine
'Journalist Duaa al-Baz was rushing to the scene of an Israeli airstrike in Nusseirat refugee camp in central #Gaza  only to find out that 12 of her relatives had been murdered in the same airstrike.#GazaGenocide',11/22/2023,41,1100,1100,2600,Palestine,Palestine
'Journalist Muhammad Nabil Al-Zaq  was martyred today in #Israel i bombing in Al-Shujaiya in the #Gaza Strip.',11/21/2023,50,200,2200,4600,Palestine,Palestine
'Judge: Planned Parenthood $1.8B Medicaid Fraud Claims Case Must Go to Trial',11/6/2023,?,4,4,886,CBNNews,?
'Judiciary slams Levin for claiming High Court constrained IDF at Gaza border https://timesofisrael.com/judiciary-slams-levin-for-claiming-high-court-constrained-idf-at-gaza-border/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/19/2023,11,11,21,7200,Israel,Israel
'Just another example of Hamas  exploitation of hospitals for terrorism: Footage: an RPG is launched at IDF forces from the entrance of the Al-Quds Hospital in Gaza. Hamas INTENTIONALLY harms Palestinian civilians in Gaza.',11/13/2023,100,1300,3900,16800,IDF,?
'Just as Isis was crushed  so too will Hamas be crushedIsrael PM Benjamin Netanyahu says  this is a time  where  we must stand tall  proud and united against evil https://bbc.in/45rEE3k',10/12/2023,538,143,680,27300,BBCWorld,?
'JUST IN:  Israelis are bombing the crap out of Gaza : CNN s @jaketapper presses National Security Adviser to the US Jake Sullivan about US efforts to free American hostages taken by Hamas in Gaza. @CNNSotu #CNNSOTU',10/15/2023,576,186,476,34900,CNN,?
'JUST IN: 2024 GOP presidential candidate Nikki Haley tells CNN s @jaketapper that recent statements from former President Donald Trump critiquing Israeli Prime Minister Benjamin Netanyahu while complimenting Hamas makes  America look weak . @CNNSotu #CNNSOTU',10/15/2023,777,202,556,40800,CNN,?
'JUST IN: A person is in custody in connection with a series of antisemitic online threats made against Cornell University s Jewish community https://trib.al/giPr6dw',10/31/2023,301,135,487,37000,CNN,?
'JUST IN: Israel confirms an IDF attack caused the massive blast at Gaza s largest refugee camp that has reportedly left many people dead and injured https://trib.al/pqkNnt5',10/31/2023,4700,1100,1300,2800000,CNN,?
'JUST IN: Israeli forces have carried out local raids in Gaza to search for hostages taken captive by Hamas  the Israeli military says. Follow live.',10/13/2023,701,189,706,45400,CNN,?
'JUST IN: Two more hostages have been released from Hamas custody  sources tell CNN https://cnn.it/40cbuEf',10/23/2023,883,312,923,39200,CNN,?
'Keep up-to-date with what is happening during Israel s current war with Hamas:#IsraelNews | #Gaza | #BringThemHome',11/21/2023,19,6,18,6900,Israel,Israel
'Keeping Gaza online: Telecom heroes risk life and limb under Israel s bombs',11/21/2023,33,338,587,4800,Palestine,Palestine
'Khaled Meshaal $5 BillionMoussa Abu Marzook $3 BillionIsmail Haniyeh $5 Million Hamas leaders are lining their pockets at the expense of millions of innocent Palestinians in Gaza. (Source MSN/Globes)',10/30/2023,1700,3200,7300,100000,IDF,?
'Khan Younis: A Gaza city on its knees  now with a million mouths to feed',10/15/2023,433,137,368,27700,BBCWorld,?
'Khan Yunis is in the southern #Gaza region  which Israel claims is a safe zone for Palestinian civilians. This was the scene this morning at a hospital yard in the city: funerals and grief over dozens of loved ones murdered by Israeli airstrikes yesterday and last night.',11/19/2023,116,2300,1800,5700,Palestine,Palestine
'Khan Yunis is in the southern #Gaza region  which Israel claims is a safe zone for Palestinian civilians. This was the scene this morning at a hospital yard in the city: funerals and grief over dozens of loved ones murdered by Israeli airstrikes yesterday and last night.?',11/19/2023,30,100,978,3600,Palestine,Palestine
'Kibbutz Kfar Aza: Hamas killed whole families',10/10/2023,239,114,326,29000,BBCWorld,?
'Kibbutz massacre survivor describes attack by Hamas gunmen',10/13/2023,180,75,219,19000,BBCWorld,?
'Killings drop in Arab Israeli communities after October 7  but for how long? https://timesofisrael.com/killings-drop-in-arab-israeli-communities-after-october-7-but-for-how-long/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/21/2023,6,5,10,5100,Israel,Israel
'Killings drop in Arab Israeli communities after October 7  but for how long? https://timesofisrael.com/killings-drop-in-arab-israeli-communities-after-october-7-but-for-how-long/? via @timesofisrael',11/22/2023,11,11,20,5100,Israel,Israel
'Know the names of the Palestinian children killed in Israel s war on Gaza here',11/20/2023,29,259,345,4300,Palestine,Palestine
'LA Times editorial board demands Biden administration push for cease-fire in Israel-Hamas war',11/19/2023,585,87,223,13100,FoxNews,?
'Labour stands with the people of Israel - David Lammy',10/8/2023,218,52,368,30300,BBCWorld,?
'Land  air and sea: Video analysis shows how Hamas coordinated huge attack',10/12/2023,91,58,156,16300,BBCWorld,?
'Large protest in #Copenhagen today in solidarity with #Gaza and #Palestine.',11/19/2023,46,1300,2700,5400,Palestine,Palestine
'Large protest in Sultan Qaboos Grand Mosque in #Oman in solidarity with #Gaza and the Palestinian resistance.',11/20/2023,10,294,705,2000,Palestine,Palestine
'Lawmakers send letter to New York Gov. Hochul calling for ban of pro-Hamas student group',11/21/2023,154,71,573,8500,FoxNews,?
'Leaders of BRICS nations have called for an  immediate  durable  and sustained humanitarian truce  in Gaza http://aje.io/ufqw7e',11/21/2023,84,447,1300,7500,Palestine,Palestine
'Lebanese Hezbollah fired Burkan missiles at the Israeli army s Pranit Barracks in the Galilee region',11/21/2023,5,36,115,1400,RT_com,?
'Lebanese PM Najib Mikati has condemned the Israeli attack that has killed two Al Mayadeen TV employees in southern Lebanon and a number of civilians. LIVE updates',11/21/2023,37,109,174,4000,Palestine,Palestine
'Lebanon: 2 journalists  another civilian killed in IDF strike amid Hezbollah clashes https://timesofisrael.com/lebanon-2-journalists-another-civilian-killed-in-idf-strike-amid-hezbollah-clashes/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/21/2023,5,5,19,5300,Israel,Israel
'Lebanon: Israel shells militant targets across border',10/11/2023,125,68,319,22300,BBCWorld,?
'Let s boast about God s goodness this week. #Thanksgiving #grateful #testimony',11/21/2023,2,3,9,100,CBNNews,?
'Let s start with Hassan Eslaiah.Eslaiah  an @AP freelancer who also works for @CNN  infiltrated into Israel alongside the terrorists  took photos of a burning Israeli tank and captured infiltrators entering Kibbutz Kfar Azza.His name appears on AP credits from Oct 7.',11/9/2023,159,525,100,58900,IDF,?
'Lianne  Noiya and Yahel Sharabi: Funeral held for mother and daughters killed by Hamas',10/25/2023,100,258,963,41300,BBCWorld,?
'Lib Dem MP: My relatives have nowhere to go in Gaza after bombing',10/17/2023,182,53,172,19100,BBCWorld,?
'Lieutenant Colonel Peter Lerner  spokespoerson for the Israel Defence Forces tells @KayBurley that the hostage deal is a  happy  moment and a  step forward for the families.  https://trib.al/Rx0iR33 Sky 501  Virgin 602  Freeview 233 and YouTube',11/22/2023,35,8,37,2400,SkyNews,?
'Likud MKs announce basic law to  anchor Druze status in Israel : The plan is not to amend the Nation-State Law but to legislate a separate basic law that will define the standing of the Druze community.by @AriellaMarsden | #Israel | #Druze',11/19/2023,15,11,47,9600,Israel,Israel
'Lili and Ram Itamari  63 & 56: Kibbutznikim who loved to travel abroad https://timesofisrael.com/lili-and-ram-itamari-63-56-kibbutznikim-who-loved-to-travel-abroad/?utm_source=dlvr.it&utm_medium=twitter? . Click to read',11/22/2023,7,2,12,5600,Israel,Israel
'Listen to the opening monologue of @DanyCushmaro from Israel s Channel 12 News last night. We want everyone to take a good look at the photos of the hostages and missing people. Memorize each and every one of their faces.#BringThemHome',10/28/2023,768,972,2700,17000,IDF,?
'LISTEN:  Our followers  who thanked us for learning about the Holocaust  are the same people who are hating us now ',11/22/2023,16,13,40,1000,Israel,Israel
'LISTEN: This Holocaust survivor is used to fighting deniers on TikTok. Hamas apologists broke him',11/21/2023,21,12,17,1200,Israel,Israel
'LIVE UPDATES: ? IDF says additional tunnels and hideouts uncovered under Al-Shifa Hospital? U.S. NSA Sullivan: We can t say for certain that Hamas will step up and deliver',11/22/2023,11,1,6,700,Israel,Israel
'LIVE UPDATES: Israel set to receive list of hostages expected to be released by Hamas',11/22/2023,5,13,27,8200,Israel,Israel
'LIVE UPDATES: Israel to allow 300 aid trucks to enter Gaza  release 150 Palestinian prisoners in exchange for 50 hostages  sources say',11/21/2023,6,100,134,2300,Israel,Israel
'LIVE UPDATES: Israeli source confirms cease-fire to begin at 10 A.M. Thursday',11/22/2023,2,45,45,1500,Israel,Israel
'LIVE UPDATES: Israeli source says roughly ten hostages will be released every day during the cease-fire  with Israel hoping the total number reaches 80',11/21/2023,4,35,42,2100,Israel,Israel
'LIVE UPDATES: Israel s far-right parties oppose hostage release deal in its current form',11/21/2023,10,45,38,1700,Israel,Israel
'LIVE UPDATES: Israel s National Security Adviser says hostages won t be released before Friday',11/22/2023,9,41,29,1800,Israel,Israel
'LIVE UPDATES: Mossad chief lands in Qatar to finalize hostage deal',11/22/2023,3,14,37,7200,Israel,Israel
'LIVE UPDATES: Rocket sirens blare in northern  central Israel',11/21/2023,6,5,9,9700,Israel,Israel
'LIVE UPDATES: Rocket sirens sound in Tel Aviv and central Israel',11/20/2023,2,6,6,7400,Israel,Israel
'LIVE UPDATES: Senior Hamas official says cease-fire to begin 10 A.M. on Thursday',11/22/2023,2,29,52,1000,Israel,Israel
'LIVE UPDATES: Suspected hostile aircraft infiltration in Israel s north',11/21/2023,31,14,29,2200,Israel,Israel
'LIVE UPDATES: The body of Shani Gabai  who had been missing since October 7  was identified',11/22/2023,6,11,30,9400,Israel,Israel
'LIVE UPDATES:? Haredi party Shas plans to vote for hostage deal? About 200 protest with hostages  families in Tel Aviv:  Who dares to vote against a deal? ? U.S. will not support continued IDF op in southern Gaza without plan to protect civilians',11/21/2023,14,44,68,1800,Israel,Israel
'LIVE UPDATES:? Netanyahu on hostage deal talks: We are making progress. I hope there will be good news soon? CNN report: Israel agrees to not fly intelligence-gathering drones for six hours a day during cease-fire',11/21/2023,8,17,20,1300,Israel,Israel
'LIVE: Israeli forces order thousands of Palestinians sheltering in Gaza s al-Shifa Hospital to evacuate in one hour',11/18/2023,135,1100,1100,12900,Palestine,Palestine
'LIVE: JPPI Daily Analysis with @yaakovkatz  Senior Fellow  JPPI; @dannydanon  Member of Knesset; former Israeli Ambassador to the UN; Shmuel Rosner  Senior Fellow  JPPI; Dr. @EinatWilf  Former Senior Fellow  JPPI; Prof. @GilTroy  Senior Fellow  JPPI.',11/19/2023,6,?,3,7300,Israel,Israel
'LIVE: Qatar  the mediator in the Gaza truce talks  has confirmed that a humanitarian pause has been agreed on.',11/22/2023,35,152,289,9100,Palestine,Palestine
'Local staff of UNICEF and the World Food Programme in Gaza are angry at superiors for what they view as a tepid reaction to the mass killing of Palestinians  according to an exclusive report by Devex. LIVE updates: http://aje.io/099hq',11/18/2023,35,204,298,5900,Palestine,Palestine
'London charities help victims in Israel and Gaza',10/15/2023,199,76,369,26200,BBCWorld,?
'London doctor in Gaza says hospital ceiling fell in after blast',10/18/2023,435,134,408,30900,BBCWorld,?
'London s Met Police urges pro-Palestinian march organisers to delay demo',11/6/2023,368,142,259,25400,BBCWorld,?
'Long queues for bread as displaced Gazans flee to southern city of Khan Younis',10/16/2023,129,35,177,16800,BBCWorld,?
'Look at each and every one of their faces. These are the babies  toddlers and children being held hostage by Hamas terrorists in Gaza. They should be with their families. Not in a dark room somewhere in Gaza. BRING THEM HOME!#WorldChildrensDay #ForEveryChild',11/20/2023,2200,2400,6100,31700,IDF,?
'Look inside the protest camp of relatives of the Hamas hostages in Tel Aviv Follow us on Rumble: http://rumble.com/c/RTNews',11/20/2023,6,13,29,9100,RT_com,?
'Looking forward to seeing Hamas raise the rainbow  flag across Gaza as a thank you for your solidarity.#LGBTQ',10/29/2023,3500,7200,2800,8400000,IDF,?
